,0
0,67
1,32
2,29
3,61
4,0
5,80
6,100
7,104
8,90
9,58
10,27
11,65
12,46
13,79
14,24
15,83
16,76
17,5
18,1
19,43
20,55
21,97
22,50
23,66
24,48
25,75
26,103
27,93
28,34
29,41
30,37
31,84
32,42
33,68
34,21
35,51
36,82
37,25
38,20
39,39
40,95
41,63
42,6
43,99
44,18
45,40
46,62
47,98
48,44
49,60
50,28
51,69
52,49
53,26
54,12
55,88
56,77
57,89
58,33
59,10
60,14
61,71
62,56
63,86
64,85
65,91
66,2
67,87
68,78
69,38
70,8
71,31
72,74
73,54
74,9
75,17
76,4
77,102
78,73
79,57
80,23
81,92
82,15
83,53
84,72
85,47
86,3
87,19
88,64
89,96
90,30
91,16
92,45
93,22
94,11
95,52
96,81
97,59
98,13
99,101
100,70
101,94
102,7
103,36
104,35
