,Unnamed: 0,Car,Location,Year,Kilometers_Driven,Owner_Type,Fuel_Type,Power,Price
0,0,Maruti Wagon,Mumbai,2010,72000,First,CNG,58.16,1.75
1,1,Hyundai Creta,Pune,2015,41000,First,Diesel,126.2,12.5
2,2,Honda Jazz,Chennai,2011,46000,First,Petrol,88.7,4.5
3,3,Maruti Ertiga,Chennai,2012,87000,First,Diesel,88.76,6.0
4,4,Audi A4,Coimbatore,2013,40670,Second,Diesel,140.8,17.74
5,6,Nissan Micra,Jaipur,2013,86999,First,Diesel,63.1,3.5
6,7,Toyota Innova,Mumbai,2016,36000,First,Diesel,171.5,17.5
7,8,Volkswagen Vento,Pune,2013,64430,First,Diesel,103.6,5.2
8,9,Tata Indica,Chennai,2012,65932,Second,Diesel,74.0,1.95
9,10,Maruti Ciaz,Kochi,2018,25692,First,Petrol,103.25,9.95
10,11,Honda City,Kolkata,2012,60000,First,Petrol,116.3,4.49
11,12,Maruti Swift,Jaipur,2015,64424,First,Diesel,74.0,5.6
12,13,Land Rover,Delhi,2014,72000,First,Diesel,187.7,27.0
13,14,Land Rover,Pune,2012,85000,Second,Diesel,115.0,17.5
14,15,Mitsubishi Pajero,Delhi,2014,110000,First,Diesel,175.56,15.0
15,16,Honda Amaze,Kochi,2016,58950,First,Diesel,98.6,5.4
16,17,Maruti Swift,Jaipur,2017,25000,First,Diesel,74.0,5.99
17,18,Renault Duster,Kochi,2014,77469,First,Diesel,83.8,6.34
18,19,Mercedes-Benz New,Bangalore,2014,78500,First,Diesel,167.62,28.0
19,20,BMW 3,Kochi,2014,32982,First,Diesel,190.0,18.55
20,22,Audi A6,Mumbai,2015,55985,First,Petrol,177.01,23.5
21,23,Hyundai i20,Kolkata,2010,45807,First,Petrol,80.0,1.87
22,24,Volkswagen Vento,Kolkata,2010,33000,First,Petrol,103.6,2.85
23,25,Honda City,Mumbai,2012,51920,First,Petrol,116.3,4.25
24,26,Nissan Micra,Hyderabad,2012,54000,First,Diesel,63.1,4.25
25,27,Maruti Alto,Hyderabad,2013,54000,Second,Petrol,67.1,2.75
26,30,Renault Duster,Bangalore,2013,62000,First,Diesel,108.45,7.75
27,31,Toyota Corolla,Delhi,2012,87615,First,Petrol,138.1,6.75
28,32,Mahindra Ssangyong,Bangalore,2013,72000,Second,Diesel,184.0,12.5
29,33,Audi A6,Kolkata,2010,35000,First,Diesel,179.5,11.5
30,34,Volkswagen Vento,Coimbatore,2014,55431,Second,Petrol,103.5,6.98
31,35,Maruti Wagon,Jaipur,2009,83816,Second,Petrol,64.0,1.85
32,36,Maruti Vitara,Kochi,2018,50075,First,Diesel,88.5,8.63
33,37,Mahindra KUV,Delhi,2017,52000,First,Petrol,82.0,4.85
34,38,Mercedes-Benz M-Class,Pune,2013,85000,First,Diesel,254.8,28.0
35,39,Volkswagen Polo,Chennai,2013,62000,First,Diesel,73.9,5.0
36,40,Maruti Alto,Delhi,2008,90000,Second,Petrol,46.3,1.25
37,41,Tata Nano,Kochi,2014,19698,First,Petrol,37.5,1.53
38,42,Mahindra KUV,Coimbatore,2017,22033,First,Diesel,77.0,5.58
39,43,Hyundai i20,Kochi,2014,35487,First,Petrol,82.9,4.74
40,44,Hyundai Elantra,Bangalore,2014,46374,First,Petrol,149.92,8.85
41,45,Toyota Corolla,Mumbai,2016,52001,First,Petrol,138.03,10.11
42,46,Hyundai Elantra,Ahmedabad,2008,58005,Second,Diesel,112.2,4.25
43,47,Toyota Innova,Bangalore,2012,70704,First,Petrol,163.7,10.95
44,48,Hyundai Xcent,Jaipur,2014,75000,First,Diesel,71.0,3.85
45,50,Audi A4,Kochi,2015,13648,First,Diesel,174.33,21.43
46,51,Maruti Swift,Delhi,2014,52000,First,Diesel,74.0,4.25
47,52,Maruti Swift,Kolkata,2014,53000,First,Diesel,75.0,3.3
48,53,Maruti Swift,Delhi,2013,65650,First,Diesel,74.0,3.85
49,54,Hyundai Grand,Chennai,2015,54000,Third,Petrol,82.0,3.6
50,55,Volkswagen Vento,Kolkata,2015,39000,First,Petrol,103.2,3.99
51,56,Renault KWID,Kochi,2017,16542,First,Petrol,53.3,3.3
52,57,Hyundai i10,Kolkata,2010,32000,First,Petrol,78.9,2.07
53,59,Maruti Zen,Hyderabad,2010,39300,First,Petrol,67.1,2.25
54,60,Toyota Innova,Mumbai,2017,22000,First,Diesel,147.8,16.5
55,61,Ford Figo,Bangalore,2010,72000,First,Diesel,68.0,2.75
56,62,Mercedes-Benz New,Delhi,2015,58000,First,Petrol,186.0,26.7
57,63,Mercedes-Benz New,Pune,2011,65000,Second,Diesel,170.0,10.0
58,64,Tata Indica,Chennai,2016,178000,First,Diesel,69.0,2.5
59,65,Audi A4,Jaipur,2012,65664,First,Diesel,140.0,13.5
60,66,Honda City,Mumbai,2007,63000,Second,Petrol,78.0,1.85
61,68,Maruti Ertiga,Pune,2016,63000,First,Diesel,88.5,8.15
62,69,Hyundai Creta,Mumbai,2018,13000,First,Diesel,88.7,10.5
63,71,Mahindra XUV500,Mumbai,2015,55729,First,Diesel,140.0,9.65
64,72,Hyundai i10,Kochi,2012,45178,First,Petrol,78.9,3.48
65,73,Nissan Terrano,Kochi,2015,56066,First,Diesel,108.5,6.92
66,74,Honda Brio,Coimbatore,2016,37300,Second,Petrol,86.8,6.46
67,75,Audi A6,Delhi,2014,56000,Second,Diesel,187.74,29.5
68,76,Ford Fiesta,Jaipur,2008,111111,First,Diesel,74.27432432432433,2.0
69,77,Toyota Innova,Chennai,2006,230000,Third,Petrol,132.0,4.5
70,78,Toyota Innova,Hyderabad,2012,104000,First,Diesel,102.0,11.75
71,79,Hyundai Santro,Hyderabad,2005,87591,First,Petrol,62.3,1.3
72,80,Maruti Swift,Jaipur,2012,95100,First,Diesel,74.0,3.75
73,81,Tata Zest,Pune,2017,70000,First,Petrol,88.7,4.5
74,82,Honda Amaze,Kochi,2016,54944,First,Petrol,86.7,4.82
75,83,Ford Figo,Hyderabad,2012,70337,First,Diesel,68.0,2.8
76,84,Maruti Ritz,Jaipur,2013,99638,First,Diesel,73.94,3.11
77,85,Honda City,Delhi,2009,52000,First,Petrol,117.3,3.25
78,86,BMW 5,Delhi,2011,75000,Second,Diesel,218.0,13.9
79,87,Hyundai i10,Pune,2009,95980,First,Petrol,78.9,2.25
80,88,Hyundai Grand,Bangalore,2016,16000,First,Petrol,82.0,5.75
81,89,Hyundai Santro,Hyderabad,2007,73745,First,Petrol,62.3,2.1
82,90,Honda Amaze,Mumbai,2016,18949,First,Petrol,86.7,5.0
83,91,Toyota Fortuner,Delhi,2014,107000,First,Diesel,168.5,16.5
84,92,Audi A6,Coimbatore,2018,48367,First,Diesel,174.33,39.58
85,93,Ford Ecosport,Delhi,2013,57000,First,Diesel,89.84,5.5
86,94,Mahindra XUV500,Delhi,2014,58000,First,Diesel,140.0,8.1
87,95,Honda Amaze,Kolkata,2015,30000,First,Diesel,98.6,3.5
88,96,Volkswagen Polo,Kolkata,2013,34212,First,Diesel,73.9,2.79
89,97,Hyundai Verna,Ahmedabad,2010,70002,First,Diesel,110.0,3.45
90,98,Maruti Wagon,Bangalore,2016,62000,First,Petrol,67.1,4.45
91,99,Volkswagen Polo,Delhi,2010,62001,First,Petrol,103.5,2.65
92,100,Hyundai i20,Pune,2011,78958,Second,Diesel,90.0,3.8
93,101,Hyundai i20,Mumbai,2014,30180,First,Petrol,82.85,4.65
94,103,Audi A4,Kolkata,2010,30000,First,Diesel,241.4,9.8
95,104,Hyundai i20,Pune,2009,66000,Second,Petrol,80.0,2.7
96,105,Maruti Omni,Coimbatore,2010,93850,First,Petrol,35.0,2.41
97,106,Toyota Etios,Ahmedabad,2014,53000,First,Petrol,78.9,3.9
98,107,Jaguar XF,Hyderabad,2011,78000,Second,Diesel,270.9,24.0
99,108,Mahindra XUV500,Delhi,2012,65000,Second,Diesel,140.0,5.75
100,109,Hyundai Verna,Kolkata,2014,40000,First,Diesel,126.32,5.25
101,110,Toyota Innova,Mumbai,2017,30000,First,Diesel,171.5,19.25
102,111,Maruti Eeco,Coimbatore,2017,38053,First,Petrol,73.0,3.91
103,112,Tata Nano,Bangalore,2014,25500,First,Petrol,37.5,2.15
104,113,BMW 3,Mumbai,2015,56087,First,Diesel,190.0,20.75
105,114,Honda Civic,Delhi,2010,71088,First,Petrol,130.0,3.35
106,115,Toyota Innova,Ahmedabad,2014,55000,First,Diesel,100.6,11.11
107,117,Nissan Micra,Coimbatore,2016,39882,First,Petrol,75.94,6.55
108,118,BMW 5,Mumbai,2009,128000,First,Petrol,215.0,7.0
109,119,Maruti Vitara,Mumbai,2016,55000,First,Diesel,88.5,7.5
110,120,Hyundai Santro,Mumbai,2005,102000,Second,Petrol,62.3,0.85
111,121,Mercedes-Benz B,Pune,2014,53753,Second,Diesel,107.3,16.75
112,122,Hyundai Verna,Kolkata,2018,10250,First,Diesel,126.2,10.95
113,123,Maruti Wagon,Pune,2011,43874,First,Petrol,67.1,2.45
114,124,Tata Nano,Coimbatore,2017,32684,First,Petrol,37.48,3.23
115,125,Mahindra Scorpio,Kolkata,2014,42000,First,Diesel,120.0,7.75
116,126,Mercedes-Benz New,Kolkata,2009,28352,First,Petrol,178.0,9.35
117,127,Maruti Wagon,Pune,2013,89900,First,CNG,58.16,3.25
118,128,Honda CR-V,Bangalore,2007,47700,Second,Petrol,152.0,5.25
119,129,Volkswagen Vento,Pune,2015,55000,First,Diesel,103.2,7.25
120,130,Maruti Ciaz,Kochi,2017,44285,First,Petrol,91.1,7.47
121,131,Mahindra XUV500,Jaipur,2016,54000,First,Diesel,140.0,13.25
122,132,Maruti Ritz,Coimbatore,2016,30232,First,Petrol,85.8,5.81
123,133,Maruti Alto,Hyderabad,2014,88500,First,Petrol,67.1,2.6
124,135,Hyundai Verna,Kochi,2019,12645,First,Petrol,121.3,11.5
125,136,Maruti Alto,Chennai,2010,94385,Second,Petrol,46.3,1.6
126,138,Honda Jazz,Mumbai,2015,12000,First,Petrol,88.7,6.0
127,139,Honda Civic,Delhi,2012,88578,First,Petrol,130.0,3.95
128,140,Mercedes-Benz New,Kochi,2014,44965,First,Diesel,170.0,17.95
129,141,Honda Amaze,Kolkata,2014,45044,First,Diesel,98.6,3.7
130,142,Maruti Swift,Kochi,2016,34204,First,Petrol,81.8,5.43
131,143,Hyundai Santro,Kochi,2008,80759,Third,Petrol,62.3,1.67
132,144,Toyota Fortuner,Coimbatore,2012,91235,First,Diesel,171.0,13.49
133,145,Chevrolet Beat,Pune,2014,38800,First,Petrol,76.8,2.85
134,146,Skoda Rapid,Chennai,2013,83000,First,Diesel,103.52,4.75
135,147,Maruti Ciaz,Kochi,2018,41283,First,Petrol,91.1,9.9
136,149,BMW 3,Mumbai,2014,48000,First,Diesel,190.0,26.5
137,150,Audi A4,Coimbatore,2015,48214,First,Diesel,174.33,23.32
138,151,Maruti Swift,Chennai,2016,35000,First,Diesel,74.0,6.25
139,152,Mercedes-Benz S,Kolkata,2010,35277,First,Petrol,362.9,30.0
140,153,Skoda Rapid,Coimbatore,2016,54620,First,Diesel,103.52,9.86
141,154,Skoda Superb,Pune,2012,136997,First,Diesel,138.1,8.5
142,155,Hyundai EON,Kochi,2019,14322,First,Petrol,55.2,4.23
143,156,Volkswagen Polo,Jaipur,2012,65634,First,Diesel,73.9,3.5
144,158,Honda Brio,Kolkata,2013,33280,First,Petrol,86.8,2.39
145,159,Mercedes-Benz B,Delhi,2013,29000,First,Petrol,120.7,11.25
146,160,Honda City,Kochi,2015,42831,First,Diesel,98.6,7.11
147,161,Toyota Innova,Ahmedabad,2016,90000,First,Diesel,100.6,10.9
148,162,Maruti Swift,Ahmedabad,2017,24005,First,Petrol,81.8,6.2
149,163,Mahindra XUV500,Mumbai,2012,32792,First,Diesel,140.0,7.9
150,164,Ford Ecosport,Kochi,2014,147898,First,Diesel,89.84,4.42
151,165,Toyota Fortuner,Mumbai,2012,131765,First,Diesel,168.5,13.5
152,166,Volkswagen Vento,Chennai,2013,65000,First,Diesel,108.5,6.25
153,167,Ford Figo,Jaipur,2010,66123,Second,Diesel,68.0,2.1
154,168,BMW X5,Mumbai,2015,41000,First,Diesel,258.0,45.0
155,169,Mercedes-Benz New,Coimbatore,2017,23550,First,Diesel,167.62,33.66
156,170,Honda Brio,Bangalore,2012,45000,Second,Petrol,86.8,3.65
157,171,Hyundai i10,Delhi,2013,60000,First,Petrol,78.9,2.75
158,173,Hyundai Grand,Kolkata,2019,1000,First,Petrol,81.86,6.5
159,174,Audi A6,Mumbai,2012,62500,Second,Diesel,174.33,19.0
160,175,Volkswagen Vento,Mumbai,2013,21000,Second,Petrol,103.6,4.45
161,177,Hyundai i20,Bangalore,2014,29000,First,Diesel,88.73,8.35
162,178,Audi A6,Mumbai,2014,40000,First,Diesel,174.33,22.95
163,179,Chevrolet Beat,Jaipur,2012,88000,First,Diesel,57.6,1.5
164,180,Skoda Superb,Kochi,2012,53537,First,Petrol,157.75,6.89
165,181,Ford Fiesta,Chennai,2006,216000,Second,Diesel,68.0,1.45
166,182,BMW 5,Hyderabad,2014,51000,First,Diesel,190.0,33.5
167,183,Chevrolet Optra,Jaipur,2007,118500,First,Petrol,102.5,1.25
168,184,Volkswagen Polo,Hyderabad,2012,63000,First,Diesel,73.9,4.2
169,186,Mercedes-Benz E-Class,Bangalore,2014,37382,First,Diesel,201.1,32.0
170,187,Maruti Baleno,Kochi,2017,24773,First,Petrol,83.1,7.5
171,188,Hyundai Verna,Delhi,2012,62000,First,Diesel,126.32,4.6
172,189,Hyundai i10,Kochi,2017,52340,First,Petrol,68.05,4.04
173,190,Mahindra Scorpio,Kochi,2016,56739,First,Diesel,120.0,10.31
174,191,Land Rover,Coimbatore,2018,36091,First,Diesel,187.7,55.76
175,192,Ford Figo,Chennai,2010,120000,First,Diesel,68.0,2.6
176,193,Maruti Ertiga,Mumbai,2016,33000,First,Diesel,88.5,8.5
177,194,Honda City,Ahmedabad,2007,60006,First,Petrol,110.78270676691729,2.95
178,195,Honda Amaze,Kolkata,2014,52000,First,Diesel,98.6,3.5
179,196,Hyundai i10,Jaipur,2015,43571,First,Petrol,78.9,3.55
180,197,Honda Amaze,Kolkata,2013,50000,First,Diesel,98.6,3.25
181,198,Skoda Laura,Hyderabad,2008,113000,First,Diesel,106.0,4.5
182,199,Renault Duster,Delhi,2014,90000,First,Diesel,83.8,5.35
183,201,Maruti Vitara,Mumbai,2016,20000,First,Diesel,88.5,9.0
184,202,Hyundai i20,Kochi,2016,61012,First,Petrol,81.83,6.0
185,203,Skoda Fabia,Jaipur,2009,87459,First,Petrol,85.0,2.75
186,204,Tata Indigo,Pune,2010,70500,First,Petrol,64.1,1.5
187,205,Audi Q3,Delhi,2015,64103,First,Diesel,174.33,19.9
188,206,Skoda Octavia,Mumbai,2014,76000,First,Petrol,177.5,10.0
189,207,Toyota Etios,Delhi,2014,104000,First,Diesel,67.06,3.0
190,208,Maruti Swift,Kolkata,2010,42001,First,Petrol,77.89052147239263,2.11
191,209,Mercedes-Benz B,Kochi,2014,37245,First,Petrol,120.7,11.96
192,210,Honda Amaze,Kolkata,2013,45000,First,Diesel,98.6,3.25
193,211,Hyundai Verna,Jaipur,2012,117837,Second,Diesel,126.32,4.75
194,212,Renault Duster,Mumbai,2014,30000,First,Diesel,83.8,5.95
195,213,Hyundai Creta,Delhi,2015,27057,Second,Petrol,121.3,8.15
196,214,Maruti Wagon,Mumbai,2016,8500,First,Petrol,67.0,4.22
197,215,Mercedes-Benz New,Kolkata,2010,30500,First,Petrol,186.0,10.5
198,217,Hyundai i10,Pune,2012,44000,Second,Petrol,68.05,2.9
199,218,Skoda Rapid,Mumbai,2017,10500,First,Petrol,103.52,8.9
200,219,Skoda Superb,Hyderabad,2017,26000,First,Petrol,177.46,26.0
201,220,Hyundai i20,Coimbatore,2018,25166,First,Petrol,81.86,8.22
202,221,Honda Amaze,Kolkata,2014,64000,Second,Diesel,98.6,3.5
203,222,Maruti Wagon,Chennai,2004,61000,Second,Petrol,67.1,1.25
204,224,Mercedes-Benz New,Coimbatore,2018,29161,First,Diesel,167.62,39.41
205,225,Maruti Wagon,Kolkata,2013,32000,First,Petrol,67.04,2.65
206,226,Nissan Terrano,Coimbatore,2015,46173,Second,Diesel,108.5,8.92
207,227,Maruti Swift,Delhi,2013,47000,First,Diesel,77.89052147239263,4.1
208,228,Mini Cooper,Kochi,2017,26327,First,Petrol,189.08,35.67
209,229,Ford Figo,Bangalore,2015,70436,First,Diesel,99.0,3.6
210,230,Tata Indica,Jaipur,2007,200000,Second,Diesel,53.5,0.85
211,231,Chevrolet Beat,Kochi,2016,60813,Second,Petrol,76.8,3.32
212,232,Volkswagen Polo,Mumbai,2012,45000,First,Diesel,73.9,3.6
213,233,Maruti Swift,Hyderabad,2016,64000,First,Diesel,74.0,6.8
214,234,Ford Figo,Kolkata,2012,41284,First,Diesel,68.05,2.5
215,235,Toyota Innova,Kochi,2019,14165,First,Diesel,171.5,19.64
216,236,Hyundai Santa,Mumbai,2011,67000,Second,Diesel,194.3,7.0
217,237,Honda City,Kolkata,2011,32572,First,Petrol,117.3,3.87
218,238,Hyundai i20,Kochi,2018,14960,First,Petrol,81.83,6.27
219,239,Mercedes-Benz New,Kochi,2015,55980,First,Diesel,167.62,18.12
220,240,Chevrolet Beat,Mumbai,2013,74000,First,Diesel,57.6,2.65
221,241,Hyundai i20,Kochi,2015,56847,First,Diesel,88.73,7.2
222,242,Toyota Innova,Coimbatore,2015,121374,First,Diesel,100.6,14.3
223,243,Maruti Ertiga,Chennai,2013,52000,First,Diesel,88.76,6.9
224,244,Toyota Innova,Mumbai,2014,118000,First,Diesel,102.0,10.75
225,245,Hyundai Santro,Mumbai,2007,72000,Third,Petrol,62.3,0.95
226,246,Honda City,Kochi,2016,33915,First,Petrol,117.3,8.09
227,247,BMW X1,Ahmedabad,2014,82002,First,Diesel,184.0,18.5
228,248,Hyundai Grand,Mumbai,2017,33000,First,Diesel,70.0,4.75
229,249,Maruti Ciaz,Chennai,2016,34000,First,Diesel,88.5,8.45
230,250,Skoda Rapid,Kolkata,2012,55000,First,Diesel,103.6,3.5
231,251,Hyundai Accent,Kochi,2006,160538,First,Diesel,82.0,1.8
232,252,Volkswagen Polo,Jaipur,2014,60000,Second,Diesel,103.6,3.7
233,253,Honda Jazz,Coimbatore,2017,49575,First,Petrol,88.7,7.17
234,254,Hyundai i10,Jaipur,2010,83000,First,Petrol,68.05,1.75
235,256,Toyota Innova,Pune,2017,43000,First,Diesel,147.8,18.65
236,257,Maruti Omni,Jaipur,2011,35000,Third,Petrol,35.0,1.85
237,258,Maruti Swift,Coimbatore,2017,27872,Second,Petrol,81.8,5.95
238,259,Hyundai Grand,Mumbai,2014,16514,First,Petrol,82.0,3.75
239,260,Maruti Swift,Pune,2012,120000,First,Diesel,74.0,3.75
240,261,Hyundai Verna,Hyderabad,2008,143275,First,Diesel,126.2,2.6
241,262,Hyundai Santro,Hyderabad,2006,99000,First,Petrol,62.3,1.75
242,263,Hyundai i20,Mumbai,2010,52000,First,Petrol,80.0,2.8
243,264,Mercedes-Benz GLE,Coimbatore,2017,29819,First,Diesel,254.79,61.29
244,265,Mercedes-Benz New,Bangalore,2014,57000,Second,Diesel,170.0,18.0
245,266,Maruti Ritz,Hyderabad,2014,88500,First,Diesel,73.94,4.35
246,267,Hyundai Creta,Bangalore,2016,28000,First,Diesel,126.2,13.75
247,268,Maruti A-Star,Pune,2010,67000,First,Petrol,66.1,2.0
248,269,Renault Duster,Delhi,2016,26000,First,Diesel,108.45,10.0
249,271,BMW X3,Coimbatore,2017,51982,First,Diesel,258.0,45.77
250,272,Hyundai i10,Bangalore,2010,36000,Second,Petrol,78.9,3.25
251,273,Toyota Innova,Pune,2016,47000,First,Diesel,102.0,12.8
252,274,Maruti Zen,Mumbai,less than 2003,60000,Third,Petrol,60.0,0.55
253,275,Maruti Swift,Hyderabad,2018,31025,First,Diesel,74.0,7.15
254,276,Mahindra Scorpio,Pune,2013,105000,Second,Diesel,120.0,7.0
255,277,Tata Zest,Pune,2017,121900,First,Diesel,74.0,3.75
256,278,Ford EcoSport,Mumbai,2017,22695,First,Petrol,123.24,8.5
257,279,Maruti Swift,Jaipur,2012,73000,First,Diesel,74.0,4.35
258,280,Maruti Alto,Kochi,2016,32227,First,Petrol,47.3,3.26
259,281,Honda City,Jaipur,2011,55000,First,Petrol,118.0,4.21
260,282,Audi Q7,Kochi,2018,11287,First,Diesel,241.4,70.36
261,283,Skoda Laura,Mumbai,2009,48000,Second,Diesel,105.0,2.95
262,284,Hyundai Verna,Kochi,2012,54308,First,Petrol,121.3,4.28
263,285,Honda City,Jaipur,2009,78442,First,Petrol,118.0,3.57
264,286,Hyundai i20,Kolkata,2013,46000,First,Diesel,88.8,3.11
265,287,Hyundai i20,Coimbatore,2014,45051,First,Petrol,98.6,5.96
266,288,Volkswagen Vento,Hyderabad,2011,69000,First,Diesel,103.6,4.7
267,289,Honda City,Ahmedabad,2014,49000,First,Petrol,117.3,6.9
268,290,Tata Zest,Pune,2018,45000,First,Diesel,74.0,5.25
269,291,BMW 5,Pune,2015,64000,First,Diesel,177.0,28.0
270,292,Maruti Wagon,Delhi,2009,60000,First,Petrol,67.0,1.35
271,293,Honda Jazz,Delhi,2015,62178,First,Petrol,88.7,4.85
272,294,Volkswagen Jetta,Coimbatore,2012,58006,First,Diesel,105.0,6.7
273,295,Hyundai i10,Hyderabad,2010,74000,First,Petrol,78.9,3.1
274,296,Mercedes-Benz New,Kochi,2015,77771,First,Diesel,170.0,18.64
275,297,Hyundai i10,Pune,2012,45275,First,Petrol,78.9,2.8
276,298,Toyota Innova,Chennai,2016,48000,First,Diesel,147.8,20.25
277,299,Audi A6,Kochi,2015,31652,First,Diesel,174.33,26.78
278,300,Toyota Innova,Hyderabad,2010,109000,Second,Diesel,100.6,8.26
279,301,Volkswagen Polo,Mumbai,2015,31978,First,Petrol,73.9,3.89
280,302,Maruti Alto,Hyderabad,2011,70000,First,Petrol,67.1,2.1
281,303,Honda City,Mumbai,2017,15000,First,Petrol,117.3,12.69
282,304,Tata Indigo,Coimbatore,2013,59138,First,Diesel,70.0,2.58
283,305,Audi A6,Kochi,2014,61726,First,Diesel,174.33,20.77
284,306,Mercedes-Benz GLA,Delhi,2015,48000,First,Diesel,136.0,20.26
285,307,Hyundai Santro,Chennai,2006,58000,Second,Petrol,62.3,1.5
286,308,Maruti Swift,Kolkata,2011,60020,First,Diesel,77.89052147239263,2.5
287,309,Maruti Celerio,Hyderabad,2014,77815,First,Petrol,67.04,4.25
288,310,Mercedes-Benz GLE,Hyderabad,2017,29000,First,Diesel,201.15,57.0
289,311,Land Rover,Delhi,2017,44000,First,Diesel,187.7,44.0
290,312,Volkswagen Vento,Hyderabad,2011,108626,First,Diesel,103.6,3.65
291,313,Maruti Omni,Hyderabad,2012,71791,First,Petrol,35.0,2.05
292,314,Honda Brio,Kochi,2012,91931,First,Petrol,86.8,3.13
293,316,Tata Indica,Pune,2012,91183,First,Diesel,75.0,2.85
294,317,Maruti Wagon,Delhi,2012,65000,First,Petrol,67.1,2.65
295,318,Mahindra XUV500,Hyderabad,2015,88428,First,Diesel,140.0,10.6
296,319,Tata Indigo,Pune,2008,138000,Second,Diesel,70.0,1.25
297,320,Maruti Ertiga,Mumbai,2018,18000,First,Petrol,93.7,8.25
298,321,Honda Accord,Mumbai,2011,60000,First,Petrol,177.6,4.45
299,322,Maruti Swift,Kolkata,2012,48000,First,Diesel,73.9,3.7
300,323,Ford Fiesta,Hyderabad,2009,160000,First,Diesel,68.0,2.8
301,324,Honda City,Kolkata,2008,40000,First,Petrol,78.0,1.8
302,325,Audi A6,Kochi,2014,51495,First,Diesel,174.33,21.95
303,327,Audi Q7,Coimbatore,2017,97430,First,Diesel,245.0,62.67
304,328,Maruti Zen,Pune,2008,42496,First,CNG,67.1,1.4
305,329,Hyundai i20,Pune,2012,83000,First,Diesel,90.0,5.5
306,330,Hyundai i10,Bangalore,2009,37000,Third,Petrol,78.9,2.95
307,331,Honda Jazz,Kochi,2016,28503,First,Petrol,88.7,6.86
308,332,Maruti Swift,Hyderabad,2015,76496,First,Diesel,74.0,6.15
309,333,Hyundai i20,Pune,2011,79152,Second,Petrol,82.85,3.3
310,334,Volkswagen Polo,Kolkata,2011,32000,First,Petrol,73.9,2.55
311,335,Maruti Alto,Ahmedabad,2009,35000,First,Petrol,46.3,1.5
312,336,Toyota Corolla,Chennai,2004,105000,Second,Petrol,125.0,2.5
313,337,Maruti Alto,Chennai,2006,56000,Second,Petrol,46.3,1.4
314,338,Tata Manza,Pune,2012,73000,First,Diesel,88.8,3.4
315,339,Maruti Alto,Pune,2012,38000,First,Petrol,46.3,2.25
316,341,Toyota Corolla,Kolkata,2008,80000,First,Petrol,125.0,2.8
317,342,Hyundai i20,Coimbatore,2016,24973,First,Petrol,81.83,7.66
318,343,Maruti Vitara,Chennai,2016,45000,First,Diesel,88.5,7.15
319,344,Honda City,Delhi,2010,87430,First,Petrol,118.0,3.5
320,345,Tata Indica,Hyderabad,2014,133944,Second,Diesel,75.0,3.5
321,346,Honda Amaze,Kolkata,2013,57000,First,Diesel,98.6,3.45
322,347,Hyundai EON,Coimbatore,2016,27904,First,Petrol,55.2,3.55
323,348,BMW 3,Kochi,2015,30717,Second,Diesel,190.0,25.99
324,349,Hyundai Verna,Bangalore,2012,80000,First,Diesel,126.32,5.25
325,350,Tata Manza,Ahmedabad,2013,47304,First,Diesel,88.8,2.9
326,351,Skoda Octavia,Jaipur,2005,100000,First,Petrol,227.0,2.05
327,352,Maruti Alto,Pune,2017,30000,First,Petrol,67.1,3.75
328,353,Ford Ecosport,Mumbai,2014,68000,First,Diesel,89.84,6.75
