,Unnamed: 0,Car,Location,Year,Kilometers_Driven,Owner_Type,Fuel_Type,Power,Price
0,0,67,9,8,72000,2,0,58.16,1.75
1,1,32,10,13,41000,2,1,126.2,12.5
2,2,29,2,9,46000,2,2,88.7,4.5
3,3,61,2,10,87000,2,1,88.76,6.0
4,4,0,3,11,40670,1,1,140.8,17.74
5,6,80,6,11,86999,2,1,63.1,3.5
6,7,100,9,14,36000,2,1,171.5,17.5
7,8,104,10,11,64430,2,1,103.6,5.2
8,9,90,2,10,65932,1,1,74.0,1.95
9,10,58,7,16,25692,2,2,103.25,9.95
10,11,27,8,10,60000,2,2,116.3,4.49
11,12,65,6,13,64424,2,1,74.0,5.6
12,13,46,4,12,72000,2,1,187.7,27.0
13,14,46,10,10,85000,1,1,115.0,17.5
14,15,79,4,12,110000,2,1,175.56,15.0
15,16,24,7,14,58950,2,1,98.6,5.4
16,17,65,6,15,25000,2,1,74.0,5.99
17,18,83,7,12,77469,2,1,83.8,6.34
18,19,76,1,12,78500,2,1,167.62,28.0
19,20,5,7,12,32982,2,1,190.0,18.55
20,22,1,9,13,55985,2,2,177.01,23.5
21,23,43,8,8,45807,2,2,80.0,1.87
22,24,104,8,8,33000,2,2,103.6,2.85
23,25,27,9,10,51920,2,2,116.3,4.25
24,26,80,5,10,54000,2,1,63.1,4.25
25,27,55,5,11,54000,1,2,67.1,2.75
26,30,83,1,11,62000,2,1,108.45,7.75
27,31,97,4,10,87615,2,2,138.1,6.75
28,32,50,1,11,72000,1,1,184.0,12.5
29,33,1,8,8,35000,2,1,179.5,11.5
30,34,104,3,12,55431,1,2,103.5,6.98
31,35,67,6,7,83816,1,2,64.0,1.85
32,36,66,7,16,50075,2,1,88.5,8.63
33,37,48,4,15,52000,2,2,82.0,4.85
34,38,75,10,11,85000,2,1,254.8,28.0
35,39,103,2,11,62000,2,1,73.9,5.0
36,40,55,4,6,90000,1,2,46.3,1.25
37,41,93,7,12,19698,2,2,37.5,1.53
38,42,48,3,15,22033,2,1,77.0,5.58
39,43,43,7,12,35487,2,2,82.9,4.74
40,44,34,1,12,46374,2,2,149.92,8.85
41,45,97,9,14,52001,2,2,138.03,10.11
42,46,34,0,6,58005,1,1,112.2,4.25
43,47,100,1,10,70704,2,2,163.7,10.95
44,48,41,6,12,75000,2,1,71.0,3.85
45,50,0,7,13,13648,2,1,174.33,21.43
46,51,65,4,12,52000,2,1,74.0,4.25
47,52,65,8,12,53000,2,1,75.0,3.3
48,53,65,4,11,65650,2,1,74.0,3.85
49,54,37,2,13,54000,0,2,82.0,3.6
50,55,104,8,13,39000,2,2,103.2,3.99
51,56,84,7,15,16542,2,2,53.3,3.3
52,57,42,8,8,32000,2,2,78.9,2.07
53,59,68,5,8,39300,2,2,67.1,2.25
54,60,100,9,15,22000,2,1,147.8,16.5
55,61,21,1,8,72000,2,1,68.0,2.75
56,62,76,4,13,58000,2,2,186.0,26.7
57,63,76,10,9,65000,1,1,170.0,10.0
58,64,90,2,14,178000,2,1,69.0,2.5
59,65,0,6,10,65664,2,1,140.0,13.5
60,66,27,9,5,63000,1,2,78.0,1.85
61,68,61,10,14,63000,2,1,88.5,8.15
62,69,32,9,16,13000,2,1,88.7,10.5
63,71,51,9,13,55729,2,1,140.0,9.65
64,72,42,7,10,45178,2,2,78.9,3.48
65,73,82,7,13,56066,2,1,108.5,6.92
66,74,25,3,14,37300,1,2,86.8,6.46
67,75,1,4,12,56000,1,1,187.74,29.5
68,76,20,6,6,111111,2,1,74.27432432432433,2.0
69,77,100,2,4,230000,0,2,132.0,4.5
70,78,100,5,10,104000,2,1,102.0,11.75
71,79,39,5,3,87591,2,2,62.3,1.3
72,80,65,6,10,95100,2,1,74.0,3.75
73,81,95,10,15,70000,2,2,88.7,4.5
74,82,24,7,14,54944,2,2,86.7,4.82
75,83,21,5,10,70337,2,1,68.0,2.8
76,84,63,6,11,99638,2,1,73.94,3.11
77,85,27,4,7,52000,2,2,117.3,3.25
78,86,6,4,9,75000,1,1,218.0,13.9
79,87,42,10,7,95980,2,2,78.9,2.25
80,88,37,1,14,16000,2,2,82.0,5.75
81,89,39,5,5,73745,2,2,62.3,2.1
82,90,24,9,14,18949,2,2,86.7,5.0
